time,close,rsi_14,signal,returns,volatility,volatility_zscore,filtered_signal,future_return,actual_direction,predicted_direction,version
2025-06-02 14:00:00,364.49,,-1,,,,0,-0.1275755164750748,-1,0,v1.0.0
2025-06-03 21:35:00,345.47,,0,-0.05218250157754667,,,0,-0.07925434914753826,-1,0,v1.0.0
2025-06-03 21:40:00,345.47,,0,0.0,,,0,-0.08006483920456198,-1,0,v1.0.0
2025-06-03 21:45:00,343.38,,0,-0.006049729354213218,,,0,-0.07367930572543546,-1,0,v1.0.0
2025-06-03 21:50:00,344.39,,0,0.0029413477779718367,,,0,-0.07691860971572928,-1,0,v1.0.0
2025-06-05 03:45:00,317.99,,0,-0.07665727808589096,,,0,-0.00025158023837223986,-1,0,v1.0.0
2025-06-05 03:50:00,318.09,,0,0.0003144752979651333,,,0,-0.001791945675752138,-1,0,v1.0.0
2025-06-05 03:55:00,317.81,,0,-0.0008802540161588768,,,0,-0.00314653409269694,-1,0,v1.0.0
2025-06-05 04:00:00,318.08,,0,0.0008495642050281305,,,0,-0.0071680080482896535,-1,0,v1.0.0
2025-06-05 04:05:00,317.9,,0,-0.0005658953722333937,,,0,-0.012079270210758053,-1,0,v1.0.0
2025-06-05 04:10:00,317.91,,0,3.1456432840748505e-05,,,0,-0.011544147714762087,-1,0,v1.0.0
2025-06-05 17:50:00,317.52,,1,-0.0012267622912146559,,,0,-0.0036533131771225857,-1,0,v1.0.0
2025-06-05 17:55:00,316.81,,1,-0.002236079617031983,,,0,0.007701777090369566,1,0,v1.0.0
2025-06-05 18:00:00,315.8,2.7006022925976083,1,-0.0031880306808497183,,,1,0.03274224192526898,1,1,v1.0.0
2025-06-05 18:05:00,314.06,2.612290922758845,1,-0.005509816339455353,,,1,0.0417436158695792,1,1,v1.0.0
2025-06-05 18:15:00,314.24,4.5679371544951834,0,0.0005731388906577983,,,1,0.04334266802443998,1,1,v1.0.0
2025-06-05 18:15:00,316.36,10.112359550561777,0,0.006746435845213838,,,1,,-1,1,v1.0.0
2025-06-05 18:30:00,319.25,17.645481362295484,0,0.00913516247313173,,,1,,-1,1,v1.0.0
2025-06-07 19:45:00,326.14,28.862636089877213,-1,0.02158183241973366,,,1,,-1,1,v1.0.0
2025-06-07 20:50:00,327.17,75.7865168539326,0,0.0031581529404551834,,,-1,,-1,-1,v1.0.0
2025-06-07 21:20:00,327.86,76.56334964654708,0,0.002108995323532037,0.021511837153691087,,-1,,-1,-1,v1.0.0
