time,close,rsi_14,signal
2025-06-02 14:00:00,364.49,74.84098939929353,-1
2025-06-03 21:35:00,345.47,52.34822451317312,0
2025-06-03 21:40:00,345.47,58.06861499364705,0
2025-06-03 21:45:00,343.38,43.14345991561173,0
2025-06-03 21:50:00,344.39,46.26121635094715,0
2025-06-05 03:45:00,317.99,41.48148148148138,0
2025-06-05 03:50:00,318.09,41.71220400728585,0
2025-06-05 03:55:00,317.81,36.52802893309235,0
2025-06-05 04:00:00,318.08,44.29824561403481,0
2025-06-05 04:05:00,317.9,47.41784037558659,0
2025-06-05 04:10:00,317.91,56.511627906976585,0
2025-06-05 17:50:00,317.52,27.543035993740133,1
2025-06-05 17:55:00,316.81,24.583963691376752,1
2025-06-05 18:00:00,315.8,24.091919940696798,1
2025-06-05 18:05:00,314.06,24.163568773234232,1
2025-06-05 18:15:00,314.24,30.78231292517013,0
2025-06-05 18:15:00,316.36,41.354466858789706,0
2025-06-05 18:30:00,319.25,52.91512915129159,0
2025-06-07 19:45:00,326.14,82.26221079691422,-1
